Frame,Label,Confidence,X1,Y1,X2,Y2
13,player,0.8531932234764099,420,212,516,377
13,player,0.8472045660018921,838,216,919,391
13,player,0.7902282476425171,186,174,253,355
13,player,0.6477788686752319,1124,353,1203,538
13,referee,0.3658006191253662,1242,434,1280,623
14,player,0.8911158442497253,681,328,787,544
14,player,0.8729903697967529,158,400,254,644
14,player,0.8653852939605713,265,276,368,495
14,player,0.8498340249061584,420,213,516,377
14,player,0.8465080857276917,839,216,919,391
14,player,0.7859869599342346,187,176,252,355
14,player,0.6200448274612427,1122,363,1203,539
14,referee,0.3717922568321228,1242,433,1280,623
15,player,0.8765912055969238,674,330,773,546
15,player,0.8748738169670105,165,402,252,642
15,player,0.8673561215400696,411,212,503,377
15,player,0.8650509119033813,265,280,375,499
15,player,0.806636393070221,840,214,910,392
15,player,0.7979867458343506,188,177,250,359
15,player,0.2904500961303711,1120,386,1198,538
16,player,0.8767602443695068,674,330,773,546
16,player,0.87514328956604,165,402,252,642
16,player,0.8673504590988159,411,212,503,377
16,player,0.8658768534660339,264,280,375,499
16,player,0.8066577315330505,840,214,910,392
16,player,0.800409197807312,188,177,251,360
16,player,0.2934800088405609,1120,386,1198,537
17,player,0.8753204345703125,669,329,764,548
17,player,0.8644019961357117,407,212,492,380
17,player,0.8609387874603271,269,283,379,502
17,player,0.8478127717971802,174,405,249,644
17,player,0.8118878602981567,185,179,248,362
17,player,0.7634987235069275,844,214,904,393
17,player,0.4885603189468384,1113,338,1191,538
17,referee,0.39650851488113403,491,168,538,315
18,player,0.8751604557037354,669,329,764,548
18,player,0.864406406879425,407,212,492,380
18,player,0.8611000776290894,269,283,379,502
18,player,0.847940981388092,174,405,249,644
18,player,0.81218022108078,185,179,248,362
18,player,0.802710235118866,845,214,904,394
18,player,0.4892062842845917,1113,338,1191,538
18,referee,0.3952857553958893,491,168,538,315
19,player,0.8875031471252441,662,329,754,553
19,player,0.8863377571105957,407,213,484,381
19,player,0.8659993410110474,266,289,381,504
19,player,0.8244515061378479,174,180,245,360
19,player,0.8241660594940186,1102,346,1188,538
19,player,0.8164111375808716,179,405,252,642
19,player,0.7799120545387268,842,212,898,395
19,referee,0.2722102403640747,477,165,533,320
20,player,0.8886410593986511,662,328,754,552
20,player,0.8713542222976685,406,213,483,381
20,player,0.8660011887550354,266,289,381,505
20,player,0.8339980840682983,1101,345,1189,538
20,player,0.8245062232017517,174,180,245,360
20,player,0.8173083662986755,179,405,253,642
20,player,0.8018233776092529,839,210,898,396
20,referee,0.35807764530181885,477,164,533,319
21,player,0.889643132686615,658,332,741,552
21,player,0.8521785736083984,165,177,241,364
21,player,0.8507066369056702,272,294,376,498
21,player,0.8469902276992798,409,211,470,384
21,player,0.8277357220649719,176,404,251,651
21,player,0.8090193271636963,1098,348,1187,539
21,player,0.8068251013755798,831,215,891,396
21,referee,0.7663910388946533,3,485,52,667
22,player,0.8943675756454468,658,333,741,552
22,player,0.8519693613052368,272,294,376,498
22,player,0.8512771725654602,165,177,241,364
22,player,0.846315324306488,409,211,470,384
22,player,0.8274151086807251,176,404,251,651
22,player,0.8117631673812866,1098,348,1187,539
22,player,0.8079138994216919,831,215,891,396
22,referee,0.7697592377662659,3,485,52,667
23,player,0.8787307739257812,264,295,369,478
23,player,0.8769218325614929,172,403,251,649
23,player,0.8750675916671753,647,333,734,553
23,player,0.8511396050453186,157,173,241,361
23,player,0.7948669791221619,410,207,459,383
23,player,0.7848208546638489,828,213,888,398
23,player,0.5955087542533875,1097,349,1191,539
24,player,0.8779945969581604,264,295,369,478
24,player,0.8762351870536804,172,403,251,649
24,player,0.8752833604812622,647,333,734,553
24,player,0.850788414478302,157,173,241,361
24,player,0.7921040654182434,410,207,459,383
24,player,0.7888161540031433,828,213,888,397
24,player,0.5931040644645691,1097,349,1191,539
25,player,0.8772329092025757,639,333,723,555
25,player,0.8635472655296326,153,178,242,362
25,player,0.8511800765991211,167,402,253,643
25,player,0.8206274509429932,269,296,364,486
25,player,0.8179240822792053,824,216,883,393
25,player,0.7967949509620667,401,204,453,387
25,referee,0.7927053570747375,3,481,73,670
26,player,0.8782269954681396,639,333,724,555
26,player,0.8637253642082214,152,178,242,362
26,player,0.8566948771476746,168,401,255,643
26,player,0.8227582573890686,266,296,366,474
26,player,0.808097779750824,824,215,883,394
26,player,0.7992790341377258,400,205,453,386
26,referee,0.7984868884086609,3,481,73,670
26,player,0.3584482967853546,1253,433,1280,640
27,player,0.8795453906059265,631,336,715,557
27,referee,0.8712368607521057,1,479,84,672
27,player,0.8682345747947693,149,175,244,364
27,player,0.8632614612579346,163,402,263,648
27,player,0.8560113906860352,274,292,361,451
27,player,0.8296634554862976,820,218,883,393
27,player,0.60486900806427,392,191,448,385
27,player,0.45261552929878235,1252,430,1280,618
28,player,0.8795618414878845,631,336,715,557
28,referee,0.8705435991287231,1,479,84,672
28,player,0.8681432008743286,149,175,244,364
28,player,0.862337052822113,162,402,263,648
28,player,0.8547168374061584,274,292,362,452
28,player,0.8295129537582397,820,218,883,393
28,player,0.6445165872573853,389,172,447,384
28,player,0.4523349702358246,1252,430,1280,618
29,player,0.8900301456451416,621,336,704,558
29,player,0.8749514818191528,155,402,277,653
29,player,0.8725844621658325,146,177,241,363
29,referee,0.8688264489173889,3,479,89,673
29,player,0.8565557599067688,815,216,883,390
29,player,0.8193105459213257,270,287,359,443
29,player,0.8036607503890991,391,204,452,386
29,player,0.4364156126976013,1087,376,1199,543
29,player,0.29866471886634827,1253,427,1280,620
30,player,0.8900622725486755,621,336,704,557
30,player,0.8751435279846191,155,402,277,653
30,player,0.8722732067108154,146,177,241,363
30,referee,0.8680714964866638,3,479,89,673
30,player,0.8564834594726562,815,216,883,390
30,player,0.8196578621864319,270,287,359,443
30,player,0.8038492202758789,391,204,452,386
30,player,0.43674153089523315,1087,377,1199,543
30,player,0.298495352268219,1253,427,1280,620
31,referee,0.8904934525489807,5,481,104,685
31,player,0.8811811208724976,154,407,291,659
31,player,0.8749350905418396,612,337,697,559
31,player,0.8645572662353516,150,180,237,362
31,player,0.8532596230506897,811,216,883,390
31,player,0.8513622879981995,267,283,355,517
31,player,0.8403035402297974,386,206,453,383
31,player,0.4474938213825226,1082,376,1196,542
31,player,0.426251620054245,1248,426,1280,614
32,referee,0.8927333950996399,4,481,105,686
32,player,0.8747071623802185,612,336,697,560
32,player,0.8743411898612976,154,407,290,658
32,player,0.8627862334251404,150,180,237,362
32,player,0.8540584444999695,811,217,884,389
32,player,0.8512911796569824,267,283,355,517
32,player,0.8376573324203491,387,205,453,383
32,player,0.4524335265159607,1248,426,1280,614
32,player,0.4203988313674927,1082,378,1196,542
32,basketball,0.3578398525714874,403,227,420,259
33,referee,0.8894120454788208,4,483,112,680
33,player,0.8810679316520691,603,336,685,560
33,player,0.8670238852500916,150,412,292,659
33,player,0.860272228717804,806,218,882,390
33,player,0.85340815782547,381,205,457,385
33,player,0.846102237701416,154,185,236,363
33,player,0.8412567973136902,262,282,353,514
33,player,0.7734680771827698,1078,359,1197,541
33,player,0.4439692795276642,1245,426,1280,612
34,referee,0.8887748122215271,4,483,112,680
34,player,0.8818319439888,603,336,685,560
34,player,0.8645933270454407,150,412,292,659
34,player,0.8614546656608582,806,218,882,389
34,player,0.8536741137504578,381,205,457,385
34,player,0.8460070490837097,154,185,236,363
34,player,0.8413710594177246,262,282,353,515
34,player,0.7749987244606018,1078,361,1197,541
34,player,0.43234774470329285,1245,427,1280,612
35,player,0.8901127576828003,594,339,674,562
35,player,0.8638142347335815,375,211,457,384
35,player,0.8422603607177734,803,219,880,389
35,player,0.8410013318061829,165,186,235,363
35,player,0.8307196497917175,261,281,346,512
35,referee,0.8092512488365173,32,488,122,677
35,player,0.7290100455284119,147,416,294,658
35,player,0.7223432064056396,1074,417,1197,542
35,referee,0.4248213768005371,147,414,293,656
36,player,0.8897150158882141,594,339,674,562
36,player,0.8635519742965698,375,211,457,384
36,player,0.8518263697624207,803,219,880,389
36,player,0.8419919013977051,165,186,235,363
36,player,0.830417275428772,261,281,346,512
36,referee,0.808967649936676,32,488,122,677
36,player,0.7310979962348938,147,416,294,658
36,player,0.720431923866272,1074,423,1197,542
36,referee,0.42440780997276306,147,414,293,656
37,player,0.8796358108520508,583,340,667,562
37,player,0.8558525443077087,797,218,872,386
37,player,0.8510046601295471,368,213,454,385
37,player,0.8264495730400085,260,281,346,513
37,referee,0.8143500089645386,46,494,122,665
37,player,0.8075932860374451,168,183,237,363
37,player,0.7705594301223755,1069,364,1194,542
37,player,0.4305112361907959,1234,430,1279,613
37,player,0.3542656898498535,158,420,283,657
38,player,0.8740158081054688,583,340,668,561
38,player,0.8555349111557007,798,218,872,386
38,player,0.8524177074432373,368,213,454,385
38,referee,0.8183813095092773,47,494,123,666
38,player,0.8062928318977356,168,184,237,363
38,player,0.7976257801055908,259,281,344,515
38,player,0.7746108770370483,1069,369,1194,543
38,player,0.47049352526664734,155,419,282,656
38,player,0.39156225323677063,1235,429,1279,605
39,player,0.8824183940887451,574,340,658,566
39,player,0.8625732660293579,790,218,870,385
39,player,0.8502653241157532,362,213,448,383
39,player,0.8436877131462097,258,282,346,513
39,player,0.8164793848991394,168,185,239,364
39,player,0.8109138607978821,1067,430,1187,541
39,player,0.6282495260238647,164,420,278,650
39,referee,0.6175225377082825,63,496,134,667
40,player,0.8828372359275818,573,340,658,566
40,player,0.8627381324768066,790,218,870,385
40,player,0.8509344458580017,362,213,448,383
40,player,0.8419220447540283,258,282,346,513
40,player,0.8149888515472412,168,185,238,364
40,player,0.8120896816253662,1067,430,1187,541
40,player,0.6255813241004944,164,420,278,650
40,referee,0.6061790585517883,63,496,134,667
40,player,0.25117671489715576,1232,435,1279,577
41,player,0.8717086315155029,568,342,649,566
41,player,0.861997127532959,254,281,347,457
41,player,0.8567229509353638,357,206,443,383
41,player,0.8503168821334839,789,216,861,386
41,player,0.8238767981529236,164,181,240,362
41,player,0.7557491064071655,1065,423,1183,540
41,referee,0.7018240690231323,69,492,139,670
41,player,0.5049950480461121,186,420,270,648
41,basketball,0.38473761081695557,233,486,255,528
41,player,0.263965368270874,1228,437,1277,602
42,player,0.8718079924583435,568,342,649,566
42,player,0.8642182350158691,254,281,347,457
42,player,0.8504536747932434,356,207,443,383
42,player,0.8501843810081482,789,216,862,386
42,player,0.8239625692367554,164,181,240,362
42,player,0.7543207406997681,1065,423,1183,540
42,referee,0.6952641010284424,69,492,139,670
42,player,0.5105960965156555,186,420,270,648
42,basketball,0.382996141910553,233,486,255,528
42,player,0.2551385462284088,1228,437,1277,602
43,player,0.8878102898597717,253,283,351,471
43,player,0.875547468662262,556,340,643,568
43,player,0.8523241877555847,358,203,437,384
43,player,0.8479016423225403,158,177,242,364
43,player,0.8460572957992554,789,213,856,390
43,referee,0.7798600196838379,70,490,143,667
43,player,0.7653747200965881,1064,361,1180,540
43,player,0.6846151947975159,190,419,263,644
44,player,0.8758583068847656,556,340,642,568
44,player,0.8673680424690247,252,282,350,471
44,player,0.8511513471603394,358,204,437,384
44,player,0.8468578457832336,789,213,856,390
44,player,0.83603835105896,158,178,243,366
44,referee,0.7809663414955139,70,490,144,667
44,player,0.7684889435768127,1064,361,1180,539
44,player,0.6076695322990417,188,419,264,645
44,player,0.42017966508865356,1223,439,1278,613
45,player,0.8853310346603394,549,343,634,566
45,player,0.8797155022621155,253,284,361,510
45,player,0.8716503977775574,1064,361,1173,540
45,player,0.8599370121955872,157,174,246,363
45,player,0.8440185785293579,363,205,426,383
45,player,0.8164975643157959,789,214,848,392
45,referee,0.7906569838523865,80,490,153,668
45,player,0.7629624605178833,1225,442,1279,609
45,player,0.5286127924919128,179,417,257,648
45,player,0.27391481399536133,0,179,13,356
46,player,0.8906840682029724,548,343,634,566
46,player,0.8798123598098755,253,284,361,510
46,player,0.8721968531608582,1064,361,1173,540
46,player,0.8626314997673035,363,205,427,384
46,player,0.8601453304290771,157,175,245,364
46,player,0.8158616423606873,789,214,849,392
46,referee,0.7906400561332703,80,490,153,668
46,player,0.760408341884613,1225,442,1279,609
46,player,0.5319398045539856,179,417,257,649
47,player,0.887502133846283,541,344,626,569
47,player,0.8856179714202881,254,289,368,511
47,player,0.8833791613578796,1066,358,1168,540
47,player,0.8633528351783752,156,176,250,364
47,player,0.8239122033119202,364,206,421,383
47,player,0.8216367363929749,789,211,845,388
47,player,0.6952317357063293,1226,448,1279,622
47,referee,0.6564574241638184,91,482,166,666
47,player,0.6227706074714661,170,415,249,646
48,player,0.8875481486320496,541,344,626,569
48,player,0.8854970932006836,254,289,368,511
48,player,0.8836198449134827,1066,358,1168,540
48,player,0.8632714152336121,156,176,250,364
48,player,0.8241341710090637,364,206,421,383
48,player,0.8212284445762634,789,211,845,388
48,player,0.7494655847549438,1226,448,1279,621
48,referee,0.6561995148658752,91,482,166,666
48,player,0.6211161017417908,170,415,249,646
49,player,0.9014441967010498,1071,356,1165,540
49,player,0.8862652778625488,255,292,374,511
49,player,0.8816024661064148,536,344,620,569
49,player,0.877752959728241,157,179,257,367
49,player,0.8252425789833069,786,211,845,387
49,referee,0.7514736652374268,99,488,169,675
49,player,0.6358575820922852,1227,453,1279,639
49,player,0.5806529521942139,173,414,246,652
50,player,0.8907644748687744,1071,356,1165,540
50,player,0.8865326642990112,255,292,374,511
50,player,0.8811782598495483,536,344,620,569
50,player,0.87144535779953,157,177,257,370
50,player,0.8259902000427246,786,210,845,387
50,referee,0.7574805617332458,99,488,169,674
50,player,0.6390660405158997,1227,453,1279,637
50,player,0.6366897225379944,173,415,246,651
51,player,0.8836989998817444,260,294,382,514
51,player,0.8780758380889893,528,344,612,568
51,player,0.8691365718841553,159,179,259,373
51,player,0.8397929668426514,1079,354,1160,541
51,player,0.8374228477478027,782,205,843,387
51,referee,0.6835921406745911,109,489,165,662
51,player,0.6313825845718384,363,212,415,384
52,player,0.8838974237442017,260,294,382,514
52,player,0.8785468935966492,528,344,612,568
52,player,0.8687169551849365,159,179,259,373
52,player,0.8458876013755798,1079,354,1159,541
52,player,0.8374987840652466,782,205,843,387
52,referee,0.6777104735374451,109,489,165,662
52,player,0.6311468482017517,362,212,415,385
53,player,0.8854473829269409,266,294,387,515
53,player,0.8734824061393738,522,347,606,569
53,player,0.8730073571205139,165,184,262,369
53,player,0.8435975313186646,780,206,844,390
53,player,0.8195576667785645,1078,352,1155,539
53,player,0.7201957106590271,363,208,416,386
54,player,0.8856335878372192,266,294,387,515
54,player,0.8733746409416199,522,347,606,568
54,player,0.8729199767112732,165,184,262,369
54,player,0.843859076499939,780,206,844,390
54,player,0.833817720413208,1079,353,1155,539
54,player,0.7192367315292358,363,208,416,386
55,player,0.887910783290863,269,296,390,517
55,player,0.8831363916397095,518,349,600,572
55,player,0.8491590023040771,174,180,264,359
55,player,0.8281180262565613,1077,350,1151,535
55,player,0.821774959564209,783,207,845,388
55,player,0.7716264128684998,362,209,418,388
55,referee,0.6670637726783752,151,492,209,654
56,player,0.8885036110877991,269,296,390,516
56,player,0.8774445652961731,518,349,601,571
56,player,0.8488312363624573,174,179,263,359
56,player,0.8369491100311279,1077,351,1151,536
56,player,0.8240785002708435,783,207,846,389
56,player,0.7911266088485718,362,209,418,388
56,referee,0.6089800000190735,152,491,209,654
57,player,0.8812068700790405,510,350,596,576
57,player,0.8805639743804932,269,295,393,518
57,player,0.8274815082550049,781,207,851,384
57,player,0.8186612129211426,1076,350,1150,538
57,player,0.8056303858757019,359,216,424,393
57,player,0.7789751887321472,207,182,267,354
57,referee,0.7222843170166016,154,495,223,648
57,player,0.47283822298049927,360,219,406,393
57,player,0.4019787013530731,141,407,208,649
58,player,0.8828057050704956,270,296,393,516
58,player,0.8810210227966309,510,350,596,576
58,player,0.8284472227096558,781,207,851,384
58,player,0.8042001128196716,360,216,424,393
58,player,0.8026449680328369,1077,351,1150,540
58,player,0.7830458879470825,206,182,267,355
58,referee,0.7234201431274414,154,495,223,648
58,player,0.36686912178993225,141,407,208,649
59,player,0.8893305659294128,508,353,593,580
59,player,0.8872130513191223,273,297,398,525
59,player,0.8364734053611755,781,209,856,383
59,player,0.8161793947219849,361,214,431,392
59,player,0.8025447130203247,1078,351,1152,541
59,player,0.7672417163848877,222,183,270,358
59,referee,0.5751716494560242,162,511,232,660
59,player,0.5707383751869202,136,404,212,645
60,player,0.8892410397529602,508,353,593,580
60,player,0.8871951699256897,273,297,398,525
60,player,0.836778461933136,781,209,856,383
60,player,0.8075607419013977,361,214,431,392
60,player,0.8020555973052979,1078,352,1152,541
60,player,0.767134428024292,223,183,270,358
60,referee,0.5812125205993652,162,511,232,660
60,player,0.5746932029724121,136,404,212,645
61,player,0.8919127583503723,506,356,590,581
61,player,0.8749189972877502,273,300,402,526
61,player,0.868267834186554,781,212,866,383
61,player,0.8158625364303589,361,222,439,391
61,player,0.7990531921386719,220,181,277,364
61,player,0.7968774437904358,1078,353,1157,543
61,player,0.7813936471939087,135,404,209,635
62,player,0.8921384215354919,506,357,590,581
62,player,0.8774029016494751,273,300,403,524
62,player,0.8648512363433838,781,211,866,383
62,player,0.8130781650543213,134,403,208,632
62,player,0.7961142659187317,220,183,277,365
62,player,0.7950011491775513,1077,353,1157,542
62,player,0.5480631589889526,363,220,436,390
62,referee,0.4978441298007965,175,506,238,665
63,player,0.8876879215240479,504,358,588,581
63,player,0.8745469450950623,782,211,869,386
63,player,0.8615038990974426,367,224,448,392
63,player,0.8409395813941956,275,302,399,524
63,player,0.8097516894340515,133,402,200,637
63,player,0.7976873517036438,1081,354,1163,543
63,player,0.7717245221138,233,186,284,364
64,player,0.8875305652618408,504,357,588,581
64,player,0.8717676997184753,782,211,869,386
64,player,0.8618367910385132,367,224,448,392
64,player,0.8419053554534912,276,302,400,523
64,player,0.7986242175102234,1081,354,1163,543
64,player,0.7927898168563843,134,403,203,637
64,player,0.77675461769104,233,186,284,364
65,player,0.9013000726699829,501,357,586,581
65,player,0.8871524930000305,780,211,874,387
65,player,0.8598660230636597,374,223,451,389
65,player,0.8322802782058716,132,401,207,637
65,player,0.8295176029205322,279,302,398,521
65,player,0.7706957459449768,1092,350,1166,540
65,player,0.7697728872299194,238,179,276,365
65,referee,0.4387950301170349,222,491,262,666
65,player,0.2923942804336548,1090,354,1164,447
66,player,0.9054078459739685,501,357,586,581
66,player,0.8880009055137634,780,211,874,387
66,player,0.8600327372550964,374,223,451,389
66,player,0.8218107223510742,132,401,209,637
66,player,0.7983425259590149,282,301,398,524
66,player,0.7749189138412476,1092,350,1166,540
66,player,0.76878422498703,238,180,277,365
66,referee,0.46466270089149475,221,491,262,666
66,player,0.2647753059864044,1090,354,1164,447
67,player,0.8953839540481567,498,358,584,582
67,player,0.8733319044113159,781,210,874,387
67,player,0.8264908790588379,375,220,455,387
67,player,0.8259562253952026,1091,352,1173,540
67,player,0.8148549795150757,293,300,399,520
67,player,0.7681937217712402,244,178,298,361
67,player,0.6839237809181213,134,397,211,641
67,referee,0.651561439037323,227,486,279,665
67,player,0.5851516127586365,0,317,39,569
67,player,0.4012506902217865,0,321,28,591
68,player,0.8967649340629578,498,359,585,581
68,player,0.8699606657028198,781,212,874,386
68,player,0.8387113213539124,375,221,455,386
68,player,0.8226017355918884,1091,353,1173,541
68,player,0.8149837851524353,293,300,399,520
68,player,0.7728251218795776,243,173,299,363
68,player,0.6811504364013672,134,397,211,641
68,referee,0.6578347086906433,227,486,279,665
68,player,0.6115441918373108,0,317,40,569
69,player,0.8914655447006226,494,358,584,582
69,player,0.8576759696006775,785,210,875,387
69,player,0.8413314819335938,1091,352,1179,540
69,player,0.8262718319892883,382,219,459,387
69,referee,0.7857047915458679,236,487,294,665
69,player,0.7796940803527832,303,300,394,500
69,player,0.7695896625518799,248,173,306,363
69,player,0.6411332488059998,131,398,219,645
69,player,0.6031023263931274,0,313,55,563
70,player,0.8911678791046143,494,358,584,583
70,player,0.8560377359390259,785,210,875,387
70,player,0.8391585946083069,1091,352,1178,540
70,player,0.8283466100692749,382,219,459,387
70,referee,0.7906485795974731,235,487,294,665
70,player,0.7804635763168335,303,300,394,502
70,player,0.7693126797676086,248,174,306,363
70,player,0.6373032927513123,131,398,219,646
70,player,0.6206002831459045,0,313,55,564
71,player,0.8875324726104736,492,358,582,581
71,player,0.8687276840209961,126,401,228,643
71,player,0.8627793788909912,791,210,876,384
71,player,0.8514273762702942,0,312,73,519
71,player,0.8357046842575073,388,216,460,386
71,player,0.8316877484321594,1091,353,1183,538
71,player,0.831275224685669,318,300,408,499
71,player,0.8307634592056274,253,174,323,359
71,referee,0.8203077912330627,239,489,304,662
72,player,0.887360155582428,492,358,582,581
72,player,0.8687189221382141,126,401,228,643
72,player,0.8627260327339172,791,210,876,384
72,player,0.8522684574127197,0,312,73,519
72,player,0.8359485864639282,388,216,460,386
72,player,0.8336960673332214,1090,353,1183,538
72,player,0.8310134410858154,318,300,409,506
72,player,0.8308327198028564,253,174,323,359
72,referee,0.8229039311408997,239,489,304,662
73,player,0.8806027173995972,127,401,235,645
73,player,0.879838764667511,486,358,582,580
73,player,0.85422682762146,330,297,411,470
73,referee,0.8498880863189697,245,493,324,668
73,player,0.8491143584251404,795,209,877,386
73,player,0.8310945630073547,1090,353,1186,542
73,player,0.8287071585655212,262,174,346,360
73,player,0.8271337151527405,2,307,86,525
73,player,0.8014718890190125,398,220,463,385
73,basketball,0.2866854667663574,418,241,436,273
74,player,0.8815140724182129,126,401,235,645
74,player,0.8796303272247314,485,359,582,582
74,referee,0.85209059715271,245,493,324,669
74,player,0.8495938181877136,794,209,877,386
74,player,0.8484727144241333,330,297,411,470
74,player,0.8358921408653259,261,174,345,360
74,player,0.8316199779510498,2,307,86,522
74,player,0.8296338319778442,1091,353,1186,541
74,player,0.8113629817962646,398,219,464,384
74,basketball,0.3090135455131531,419,241,436,273
75,player,0.8831576704978943,480,360,581,581
75,player,0.8721303939819336,128,403,232,649
75,player,0.8582342267036438,332,296,417,469
75,player,0.8320400714874268,4,307,115,527
75,referee,0.8299457430839539,260,496,336,669
75,player,0.8282937407493591,807,210,876,386
75,player,0.8255662322044373,1089,355,1188,542
75,player,0.7799360752105713,270,179,347,358
75,player,0.49711212515830994,402,225,463,385
76,player,0.8832114338874817,480,360,581,581
76,player,0.8717947006225586,128,403,232,649
76,player,0.8581063151359558,332,296,417,469
76,player,0.8331751227378845,3,307,116,527
76,referee,0.8298918008804321,260,496,336,669
76,player,0.8279363512992859,807,210,876,386
76,player,0.8252506852149963,1089,355,1188,542
76,player,0.7789316177368164,270,179,347,358
76,player,0.49851229786872864,402,225,463,386
77,player,0.8823138475418091,474,360,581,580
77,player,0.8818589448928833,133,404,230,648
77,player,0.8387757539749146,814,210,876,388
77,player,0.8364566564559937,1093,355,1189,541
77,player,0.8362138271331787,16,307,127,523
77,player,0.8351311087608337,341,297,424,473
77,referee,0.8274431824684143,271,498,356,655
77,player,0.8195540904998779,281,184,355,360
77,player,0.2895934283733368,772,143,822,314
77,basketball,0.27850648760795593,431,239,450,273
77,referee,0.2588950991630554,504,184,545,325
78,player,0.8828521966934204,473,360,581,581
78,player,0.8808122873306274,133,404,230,648
78,player,0.8385370373725891,16,307,127,522
78,player,0.8384466171264648,814,210,876,388
78,player,0.8368434309959412,1093,355,1189,541
78,player,0.8340029716491699,341,297,424,473
78,referee,0.8273247480392456,271,498,356,655
78,player,0.8202183842658997,281,183,354,360
78,player,0.29223698377609253,772,143,822,314
78,basketball,0.26374706625938416,431,239,450,273
78,referee,0.2567873001098633,504,184,545,325
79,player,0.8835573792457581,471,361,582,580
79,player,0.8545986413955688,140,404,228,647
79,player,0.8527600169181824,1100,356,1188,543
79,player,0.8423812985420227,820,209,877,388
79,referee,0.834089457988739,287,498,369,665
