Frame,TrackID,X1,Y1,X2,Y2
134,8,539.0,262.0,555.0,291.0
135,8,539.0,262.0,555.0,291.0
136,8,538.0,263.0,554.0,291.0
137,8,538.0,263.0,554.0,291.0
138,8,537.8037503187342,263.18975201221207,553.8167456568417,291.26943962339675
139,8,537.6024194392963,263.39953000638826,553.598520547927,291.4495927038939
140,8,537.4010885598178,263.6093080005644,553.380295439053,291.62974578439105
141,8,537.1997576802987,263.8190859947406,553.1620703302199,291.8098988648882
142,8,536.9984268007389,264.0288639889167,552.9438452214273,291.9900519453853
143,8,536.7970959211384,264.2386419830929,552.7256201126754,292.17020502588247
144,8,536.5957650414972,264.44841997726905,552.5073950039641,292.3503581063796
145,8,536.3944341618154,264.65819797144525,552.2891698952936,292.53051118687677
146,8,536.1931032820929,264.8679759656214,552.0709447866639,292.7106642673739
147,8,535.9917724023296,265.0777539597976,551.8527196780745,292.89081734787106
148,8,535.7904415225257,265.2875319539737,551.634494569526,293.0709704283682
149,8,535.5891106426812,265.4973099481499,551.4162694610184,293.25112350886536
150,8,535.387779762796,265.7070879423261,551.1980443525512,293.43127658936254
151,8,535.1864488828701,265.91686593650223,550.9798192441247,293.61142966985966
152,8,534.9851180029035,266.1266439306784,550.761594135739,293.79158275035684
153,8,534.7837871228962,266.33642192485456,550.5433690273939,293.97173583085396
154,8,534.5824562428483,266.54619991903076,550.3251439190893,294.15188891135114
155,8,534.3811253627596,266.7559779132069,550.1069188108255,294.33204199184826
156,8,534.1797944826303,266.9657559073831,549.8886937026025,294.51219507234543
157,8,533.9784636024604,267.1755339015592,549.6704685944202,294.69234815284256
158,8,543.0,275.0,559.0,303.0
159,8,543.0,275.0,559.0,303.0
160,8,543.2914078732117,275.699370145957,559.2660845489858,303.6919816159583
161,8,543.5128575721099,276.2329696124366,559.4847098295934,304.22063161910853
162,8,543.7343072710285,276.7665690789162,559.7033351101807,304.74928162225876
163,8,543.9557569699675,277.30016854539576,559.9219603907475,305.27793162540905
164,8,544.1772066689269,277.8337680118753,560.1405856712938,305.80658162855923
165,8,544.3986563679068,278.3673674783549,560.3592109518198,306.33523163170946
166,8,544.6201060669072,278.90096694483447,560.5778362323255,306.86388163485975
167,8,544.8415557659279,279.43456641131405,560.7964615128105,307.39253163801
168,8,545.063005464969,279.96816587779364,561.0150867932753,307.9211816411603
169,8,545.2844551640306,280.5017653442732,561.2337120737196,308.4498316443105
170,8,545.5059048631126,281.03536481075275,561.4523373541435,308.9784816474607
171,8,545.727354562215,281.56896427723234,561.670962634547,309.507131650611
172,8,545.9488042613378,282.1025637437119,561.88958791493,310.0357816537612
173,8,546.1702539604812,282.6361632101915,562.1082131952927,310.56443165691144
174,8,546.3917036596448,283.1697626766711,562.3268384756348,311.0930816600617
175,8,546.613153358829,283.7033621431506,562.5454637559567,311.6217316632119
176,8,546.8346030580335,284.2369616096302,562.764089036258,312.1503816663622
177,8,547.0560527572584,284.7705610761098,562.9827143165388,312.6790316695124
178,8,547.2775024565038,285.3041605425894,563.2013395967995,313.20768167266266
179,8,547.4989521557696,285.837760009069,563.4199648770395,313.73633167581295
180,8,547.7204018550558,286.3713594755485,563.6385901572592,314.2649816789631
181,8,547.9418515543624,286.9049589420281,563.8572154374584,314.79363168211336
182,8,548.1633012536895,287.4385584085077,564.0758407176372,315.32228168526365
183,8,548.3847509530369,287.97215787498726,564.2944659977956,315.8509316884139
184,8,548.6062006524049,288.50575734146685,564.5130912779337,316.37958169156417
185,8,548.8276503517932,289.03935680794643,564.7317165580511,316.9082316947144
186,8,549.049100051202,289.57295627442596,564.9503418381483,317.4368816978646
187,8,549.2705497506312,290.10655574090555,565.168967118225,317.96553170101487
188,8,549.4919994500807,290.64015520738513,565.3875923982813,318.4941817041651
189,8,549.7134491495507,291.1737546738647,565.6062176783171,319.02283170731533
190,8,549.9348988490411,291.7073541403443,565.8248429583325,319.5514817104656
191,8,550.156348548552,292.24095360682384,566.0434682383276,320.0801317136158
192,8,544.0,370.0,562.0,402.0
193,8,544.0,370.0,562.0,402.0
194,8,543.935920484425,374.042962352486,562.1636438524797,406.2179260617871
195,8,543.9318113731583,377.0631621084532,562.2338826795633,409.3693700384375
196,8,543.9277022797112,380.0833618644204,562.3041214888274,412.5208140150879
197,8,543.9235932040835,383.10356162038755,562.374360280272,415.6722579917382
198,8,543.9194841462754,386.12376137635476,562.444599053897,418.8237019683886
199,8,543.9153751062868,389.143961132322,562.5148378097026,421.975145945039
200,8,543.9112660841176,392.16416088828913,562.5850765476888,425.1265899216893
201,8,543.907157079768,395.18436064425634,562.6553152678554,428.2780338983397
202,8,543.9030480932378,398.20456040022356,562.7255539702023,431.4294778749901
203,8,543.8989391245271,401.2247601561907,562.79579265473,434.58092185164037
204,8,543.894830173636,404.2449599121579,562.8660313214381,437.73236582829077
205,8,543.8907212405643,407.26515966812514,562.9362699703266,440.8838098049411
206,8,543.8866123253122,410.28535942409235,563.0065086013958,444.0352537815915
207,8,543.8825034278796,413.3055591800595,563.0767472146455,447.18669775824185
208,8,543.8783945482663,416.3257589360267,563.1469858100755,450.3381417348922
209,8,543.8742856864727,419.3459586919939,563.2172243876862,453.4895857115426
210,8,543.8701768424985,422.3661584479611,563.2874629474773,456.64102968819293
211,8,543.8660680163438,425.3863582039283,563.3577014894488,459.79247366484327
212,8,543.8619592080087,428.4065579598955,563.427940013601,462.94391764149367
213,8,543.857850417493,431.42675771586266,563.4981785199336,466.09536161814395
214,8,543.8537416447967,434.4469574718299,563.5684170084467,469.24680559479435
215,8,543.8496328899201,437.4671572277971,563.6386554791404,472.39824957144475
216,8,543.8455241528629,440.48735698376424,563.7088939320146,475.54969354809504
217,8,543.8414154336252,443.50755673973146,563.7791323670691,478.70113752474543
218,8,543.837306732207,446.52775649569867,563.8493707843043,481.8525815013958
219,8,543.8331980486083,449.5479562516658,563.9196091837199,485.0040254780461
220,8,543.8290893828291,452.56815600763304,563.989847565316,488.1554694546965
221,8,543.8249807348694,455.58835576360025,564.0600859290927,491.30691343134686
222,8,543.8208721047292,458.6085555195674,564.1303242750498,494.4583574079972
223,8,543.8167634924085,461.6287552755346,564.2005626031876,497.6098013846476
224,8,543.8126548979072,464.6489550315018,564.2708009135056,500.76124536129794
225,8,543.8085463212255,467.66915478746904,564.3410392060043,503.91268933794834
226,8,543.8044377623634,470.6893545434362,564.4112774806835,507.0641333145986
227,8,543.8003292213207,473.7095542994034,564.4815157375432,510.215577291249
228,8,543.7962206980974,476.7297540553706,564.5517539765832,513.3670212678994
229,8,543.7921121926937,479.7499538113378,564.6219921978039,516.5184652445497
230,8,543.7880037051094,482.770153567305,564.692230401205,519.6699092212001
231,8,543.7838952353447,485.7903533232722,564.7624685867868,522.8213531978505
232,8,543.7797867833995,488.81055307923936,564.8327067545489,525.9727971745008
233,8,543.7756783492738,491.83075283520657,564.9029449044916,529.1242411511512
